random_state,split_fnum,configs,job_name,config_time,start_time,end_time,train_time,train_epoch,epoch_val_mIoU,avg_epoch_time,is_imbalance,split_strategy,resampling_strategy,do_copypaste,paste_by,test_mIoU,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor,background,cur_data,num_train,aeroplane_cnt,bicycle_cnt,bird_cnt,boat_cnt,bottle_cnt,bus_cnt,car_cnt,cat_cnt,chair_cnt,cow_cnt,diningtable_cnt,dog_cnt,horse_cnt,motorbike_cnt,person_cnt,pottedplant_cnt,sheep_cnt,sofa_cnt,train_cnt,tvmonitor_cnt,background_cnt,border_cnt,aeroplane_pix,bicycle_pix,bird_pix,boat_pix,bottle_pix,bus_pix,car_pix,cat_pix,chair_pix,cow_pix,diningtable_pix,dog_pix,horse_pix,motorbike_pix,person_pix,pottedplant_pix,sheep_pix,sofa_pix,train_pix,tvmonitor_pix,background_pix,border_pix,aeroplane_prop,bicycle_prop,bird_prop,boat_prop,bottle_prop,bus_prop,car_prop,cat_prop,chair_prop,cow_prop,diningtable_prop,dog_prop,horse_prop,motorbike_prop,person_prop,pottedplant_prop,sheep_prop,sofa_prop,train_prop,tvmonitor_prop,background_prop,border_prop,aeroplane_nz_pix,bicycle_nz_pix,bird_nz_pix,boat_nz_pix,bottle_nz_pix,bus_nz_pix,car_nz_pix,cat_nz_pix,chair_nz_pix,cow_nz_pix,diningtable_nz_pix,dog_nz_pix,horse_nz_pix,motorbike_nz_pix,person_nz_pix,pottedplant_nz_pix,sheep_nz_pix,sofa_nz_pix,train_nz_pix,tvmonitor_nz_pix,background_nz_pix,border_nz_pix,aeroplane_nz_prop,bicycle_nz_prop,bird_nz_prop,boat_nz_prop,bottle_nz_prop,bus_nz_prop,car_nz_prop,cat_nz_prop,chair_nz_prop,cow_nz_prop,diningtable_nz_prop,dog_nz_prop,horse_nz_prop,motorbike_nz_prop,person_nz_prop,pottedplant_nz_prop,sheep_nz_prop,sofa_nz_prop,train_nz_prop,tvmonitor_nz_prop,background_nz_prop,border_nz_prop
1,0,FALSE_random_x2_FALSE_none,jYQpo,2022-06-19 19:41:16,2022-06-19 19:41:26,2022-06-20 01:45:00,0 days 06:03:34,76,0.6973712811537861,0 days 00:04:47.026315789,False,random,x2,False,none,0.5574972424452884,0.6523408362722312,0.2902902981060272,0.6356961196732395,0.5206078968802124,0.34751362334407127,0.7352430271038094,0.4368639269735442,0.7598399098131119,0.19692388877866376,0.7362668111089115,0.46675511371329603,0.6968646709693482,0.6078807292243157,0.6627328324554869,0.5643432245114306,0.22073296740339673,0.6324402318298654,0.4507378195480615,0.727685977787768,0.48634184920064516,0.8793403366536189,random_rstate1_fold0,1171.0,66.0,54.0,86.0,63.0,62.0,62.0,102.0,106.0,114.0,53.0,67.0,98.0,57.0,70.0,348.0,65.0,46.0,75.0,64.0,68.0,1168.0,1171.0,1183.5661827497865,524.4440649017934,1617.7899231426131,1118.5303159692571,918.4355251921435,2811.8608027327073,2396.97950469684,4784.083689154569,1935.9000853970965,1502.139197267293,2453.4372331340733,3047.3168232280104,1700.801024765158,2142.338172502135,8267.949615713065,1112.861656703672,1407.859948761742,2626.32365499573,2596.622544833476,1712.7224594363793,123817.57813834329,9889.766865926558,0.006790460886608643,0.0028455219032266933,0.00861581989647494,0.0063849276307345985,0.005096718468356074,0.015981706707715013,0.013701035657372726,0.02648719872089367,0.010918204056874421,0.008571064133182928,0.013188599129611867,0.016596034401919164,0.009462255148263599,0.011776521973081355,0.04625526119859843,0.006035497673460241,0.007776899760919369,0.01462124612650295,0.014670156681738138,0.009167725304817515,0.6897043911748,0.05535275336484775,20999.333333333332,11372.666666666666,22028.279069767443,20790.460317460318,17346.58064516129,53107.8870967742,27518.264705882353,52850.58490566038,19885.429824561405,33188.77358490566,42880.22388059701,36412.32653061225,34941.01754385965,35838.25714285715,27821.17528735632,20048.63076923077,35839.217391304344,41005.666666666664,47510.078125,29494.08823529412,124135.60273972603,9889.766865926558,0.12047923785179881,0.06170566941997144,0.1173154081252576,0.11867857548555896,0.09626221494266068,0.3018480412053916,0.15729326230179866,0.2926085820959103,0.11215102588245568,0.18937200188598508,0.23050521762351486,0.19830567637395247,0.1943912417301171,0.19700438900683237,0.15564629558493898,0.10873181193264525,0.1979728178268822,0.2282863895217994,0.2684180230361775,0.15787362252854867,0.6914758921795298,0.05535275336484775
1,0,FALSE_mskf_x2_FALSE_none,m7ltG,2022-06-20 01:45:00,2022-06-20 01:45:10,2022-06-20 08:07:31,0 days 06:22:21,80,0.7090512115672245,0 days 00:04:46.762500,False,mskf,x2,False,none,0.5534888379092495,0.6490231735596955,0.276469538178806,0.6534475585162702,0.5193110098178325,0.3478567637318277,0.7121575730384796,0.4926175269708905,0.7557084100716612,0.16850745842353618,0.7123594947815761,0.45255132776969875,0.6718777990385263,0.6311430558211737,0.6557116576242866,0.5695316994139468,0.20320965027875465,0.6583071810102529,0.4273017661146914,0.7280162757145232,0.4589318137609572,0.8792248624568528,mskf_rstate1_fold0,1171.0,70.0,52.0,84.0,62.0,70.0,62.0,102.0,107.0,118.0,52.0,66.0,96.0,55.0,65.0,354.0,66.0,50.0,75.0,66.0,67.0,1168.0,1171.0,1249.6182749786508,452.02220324508966,1532.1562766865927,1018.0290350128096,984.4295473953886,2875.9521776259608,2338.746370623399,4761.277540563621,2030.4850555081127,1485.6507258753202,2529.2245943637918,3061.1562766865927,1646.132365499573,2060.5183603757473,8102.31511528608,1061.5772843723314,1488.6507258753202,2312.0922288642187,2687.534585824082,1711.4133219470539,124627.02732707089,10018.830913748932,0.007228244303960733,0.0024662407724849646,0.008218361626796209,0.005626422989045818,0.005464538450491575,0.016188006609031746,0.013508396291999023,0.026240982532246018,0.011473181615346183,0.008369992356471415,0.013635418288276557,0.01645072962896993,0.009416977016183404,0.011212742351282622,0.04538466332996841,0.005734966459791893,0.00814579374879893,0.012632747050286277,0.014888626175721686,0.009185397155888139,0.6925359960303787,0.05599157521657948,20904.32857142857,10179.192307692309,21358.988095238095,19227.612903225807,16468.1,54318.3870967742,26849.725490196077,52107.06542056075,20149.98305084746,33455.71153846154,44874.57575757576,37339.729166666664,35047.65454545455,37121.03076923077,26801.725988700564,18834.954545454544,34864.2,36099.46666666667,47683.378787878784,29911.417910447763,124947.13099315068,10018.830913748932,0.12091820114197169,0.055537845088074876,0.11456787458307571,0.1062667954866557,0.09141392179322334,0.3057444474060673,0.15508168684245938,0.2871793508902812,0.11385674297941001,0.18848578941207744,0.24192537599351285,0.20066462912003946,0.2004960015627412,0.20200186605156845,0.1501283637270989,0.10175220794570161,0.19077448959687093,0.19723929061180306,0.26416032199651657,0.1605388070081345,0.6943147699927855,0.05599157521657948
1,0,TRUE_random_x2_FALSE_none,sKpWx,2022-06-20 08:07:31,2022-06-20 08:07:41,2022-06-20 12:26:32,0 days 04:18:51,79,0.7083103858145654,0 days 00:03:16.594936708,True,random,x2,False,none,0.523493973784245,0.56917254522378,0.23853654145561898,0.5419285629438745,0.508523690913781,0.2647073839454166,0.7250482947440783,0.4774763870120054,0.671550304821172,0.04226709977963491,0.7107973572553767,0.38386474934854786,0.7114722360368109,0.6259309690012208,0.6581917984054884,0.5528723076595116,0.2661307713724188,0.5921913391298188,0.4007336147096072,0.7079991069850384,0.4711674827452749,0.8728109059806696,random_rstate1_fold0,801.0,13.0,11.0,18.0,61.0,10.0,60.0,87.0,21.0,19.0,52.0,29.0,91.0,56.0,69.0,256.0,46.0,44.0,46.0,64.0,44.0,801.0,801.0,266.8164794007491,218.3932584269663,506.25468164794006,1624.2209737827716,422.916354556804,4052.1847690387017,3179.263420724095,1426.5992509363296,670.7752808988764,2098.062421972534,1438.307116104869,4319.729088639201,2447.8938826466915,3128.576779026217,8160.014981273408,1470.3957553058676,1962.343320848939,2700.876404494382,3796.0611735330835,1715.7877652933832,125013.50561797753,8647.516853932584,0.0015171831094761285,0.0011692487629990811,0.0028319516151222267,0.009245776809838336,0.0024322697339096066,0.023014459503422957,0.018282453433267874,0.00766070585609347,0.00369280151847108,0.012020082261702716,0.007801033284046804,0.023551048509969388,0.013580558621430115,0.01719620859717119,0.0461675717602832,0.00800070216966648,0.010800229348801493,0.015066965181218394,0.021446633550955507,0.009183294671139963,0.6966989884014704,0.04863983329954362,16440.0,15903.0,22528.333333333332,21327.885245901638,33875.6,54096.666666666664,29271.149425287356,54414.57142857143,28278.473684210527,32318.23076923077,39727.03448275862,38023.10989010989,35013.625,36318.69565217391,25531.921875,25604.065217391304,35723.568181818184,47030.47826086957,47510.078125,31235.136363636364,125013.50561797753,8647.516853932584,0.09348182082233684,0.08514256901475127,0.1260218468729391,0.12140765942099191,0.1948248056861595,0.30724303437069644,0.16832465747181113,0.29220120908242236,0.1556807376997545,0.18515549791584376,0.21546991932832724,0.20730098743390638,0.1942504902815272,0.19962555197585682,0.1444540038280736,0.1393165747370185,0.19661326609977262,0.26236171978599854,0.2684180230361775,0.1671777052632525,0.6966989884014704,0.04863983329954362
1,0,TRUE_mskf_cnt_FALSE_none,HYdBk,2022-06-20 12:26:33,2022-06-20 12:26:43,2022-06-20 17:02:05,0 days 04:35:22,84,0.7255547753838142,0 days 00:03:16.690476190,True,mskf,cnt,False,none,0.5237436172016482,0.5976293378213118,0.23418902259819804,0.5260755837223063,0.5015760930436317,0.2855999928182615,0.6951559949279309,0.44677594067741466,0.6920408354662331,0.05367002164615658,0.7075196838829484,0.410013407414334,0.6956287219428783,0.6334716308003144,0.6392588263275175,0.5448720221084062,0.25274453814080405,0.6154394422363435,0.4184364895401046,0.7317118009001676,0.444341864437308,0.8724647107820405,mskf_rstate1_fold0,800.0,15.0,10.0,18.0,61.0,13.0,60.0,89.0,24.0,18.0,51.0,29.0,87.0,54.0,64.0,260.0,47.0,46.0,42.0,66.0,40.0,799.0,800.0,417.96125,128.78,369.04125,1473.85375,443.05375,4151.06375,3143.2425,1635.58375,620.07125,2076.55,1694.4325,4260.27875,2370.9325,3012.72375,8071.53125,1422.5475,2019.1325,2250.42,3933.87875,1655.7975,125580.38625,8874.8575,0.0024202557392064635,0.0007119919231839792,0.0020722343413534794,0.008154245400215816,0.002541338350623387,0.023345199058354603,0.01828156348184656,0.008734758025951124,0.003430621854338174,0.011740788551368366,0.009198737874749058,0.022904762557787797,0.013531258453874517,0.016392471436509758,0.04566982174330784,0.00770513244127313,0.011012784876912868,0.012321888495454538,0.02179322656471262,0.008874451268617,0.6993373856604006,0.04982508189995791,22291.266666666666,10302.4,16401.833333333332,19329.22950819672,27264.846153846152,55347.51666666667,28253.865168539327,54519.458333333336,27558.722222222223,32573.333333333332,46742.96551724138,39174.97701149425,35124.92592592593,37659.046875,24835.48076923077,24213.574468085106,35115.34782608696,42865.142857142855,47683.378787878784,33115.95,125737.55819774719,8874.8575,0.1290803060910114,0.05695935385471833,0.09209930406015464,0.1069409232815189,0.15639005234605458,0.31126932077806135,0.1643286605109803,0.2911586008650375,0.15247208241502996,0.1841692321783273,0.25375828619997404,0.2106185062785085,0.2004630882055484,0.20490589295637196,0.1405225284409472,0.1311511904897554,0.19152669351152815,0.23470263800865787,0.26416032199651657,0.17748902537234,0.7002126514747441,0.04982508189995791
1,0,TRUE_skf_prop_cluster_FALSE_none,ZlfNW,2022-06-20 17:02:05,2022-06-20 17:02:15,2022-06-20 21:58:28,0 days 04:56:13,92,0.7356852345942734,0 days 00:03:13.184782608,True,skfprop,cluster,False,none,0.512569852232587,0.5522050052223889,0.1711246892014252,0.48803807194300103,0.5030967628657892,0.2844813632759184,0.7069011500701208,0.4162960285450775,0.7012837969000969,0.04466061780806583,0.7347903918400903,0.3285291736245092,0.6950725434839738,0.635187766538556,0.6377674101516544,0.5553304159614808,0.2319801759606565,0.6010851248889789,0.4136204240993838,0.7128558055598124,0.48040269078198383,0.8692574881613632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,TRUE_random_x2_TRUE_cnt,Iufqb,2022-06-20 21:58:28,2022-06-20 21:58:38,2022-06-21 02:08:25,0 days 04:09:47,67,0.7074347692674935,0 days 00:03:43.686567164,True,random,x2,True,cnt,0.5296373043613539,0.5990522629040247,0.25752075189726953,0.5523903817283027,0.49157784619222017,0.3471431222430544,0.7206735407199306,0.4482765519280926,0.6596820489202565,0.10211501501705011,0.6645096236327306,0.4199248786961612,0.677495742336186,0.5971815532174747,0.6244288018139025,0.5426949801283498,0.2755850970148383,0.6230341178611956,0.4810112961433529,0.7131595501811138,0.45953949584720577,0.8653867331657197,random_rstate1_fold0,801.0,13.0,11.0,18.0,61.0,10.0,60.0,87.0,21.0,19.0,52.0,29.0,91.0,56.0,69.0,256.0,46.0,44.0,46.0,64.0,44.0,801.0,801.0,266.8164794007491,218.3932584269663,506.25468164794006,1624.2209737827716,422.916354556804,4052.1847690387017,3179.263420724095,1426.5992509363296,670.7752808988764,2098.062421972534,1438.307116104869,4319.729088639201,2447.8938826466915,3128.576779026217,8160.014981273408,1470.3957553058676,1962.343320848939,2700.876404494382,3796.0611735330835,1715.7877652933832,125013.50561797753,8647.516853932584,0.0015171831094761285,0.0011692487629990811,0.0028319516151222267,0.009245776809838336,0.0024322697339096066,0.023014459503422957,0.018282453433267874,0.00766070585609347,0.00369280151847108,0.012020082261702716,0.007801033284046804,0.023551048509969388,0.013580558621430115,0.01719620859717119,0.0461675717602832,0.00800070216966648,0.010800229348801493,0.015066965181218394,0.021446633550955507,0.009183294671139963,0.6966989884014704,0.04863983329954362,16440.0,15903.0,22528.333333333332,21327.885245901638,33875.6,54096.666666666664,29271.149425287356,54414.57142857143,28278.473684210527,32318.23076923077,39727.03448275862,38023.10989010989,35013.625,36318.69565217391,25531.921875,25604.065217391304,35723.568181818184,47030.47826086957,47510.078125,31235.136363636364,125013.50561797753,8647.516853932584,0.09348182082233684,0.08514256901475127,0.1260218468729391,0.12140765942099191,0.1948248056861595,0.30724303437069644,0.16832465747181113,0.29220120908242236,0.1556807376997545,0.18515549791584376,0.21546991932832724,0.20730098743390638,0.1942504902815272,0.19962555197585682,0.1444540038280736,0.1393165747370185,0.19661326609977262,0.26236171978599854,0.2684180230361775,0.1671777052632525,0.6966989884014704,0.04863983329954362
1,0,TRUE_random_x2_TRUE_performance,soH9t,2022-06-21 02:08:25,2022-06-21 02:08:35,2022-06-21 06:26:02,0 days 04:17:27,69,0.7050875180054358,0 days 00:03:43.869565217,True,random,x2,True,performance,0.5302355489630146,0.5299573659285397,0.2527597429359413,0.5487078442168263,0.5344693496344566,0.31964643015922195,0.7210824399916699,0.4706843893170946,0.6418829557489409,0.08593010513250417,0.6738118454127603,0.4356061749968212,0.6974479810977308,0.6325093300324399,0.6361643759082027,0.5506022790937638,0.2698907714393362,0.6303765428247744,0.4421526264690725,0.7201296359419364,0.4774811770562081,0.8636531648850649,random_rstate1_fold0,801.0,13.0,11.0,18.0,61.0,10.0,60.0,87.0,21.0,19.0,52.0,29.0,91.0,56.0,69.0,256.0,46.0,44.0,46.0,64.0,44.0,801.0,801.0,266.8164794007491,218.3932584269663,506.25468164794006,1624.2209737827716,422.916354556804,4052.1847690387017,3179.263420724095,1426.5992509363296,670.7752808988764,2098.062421972534,1438.307116104869,4319.729088639201,2447.8938826466915,3128.576779026217,8160.014981273408,1470.3957553058676,1962.343320848939,2700.876404494382,3796.0611735330835,1715.7877652933832,125013.50561797753,8647.516853932584,0.0015171831094761285,0.0011692487629990811,0.0028319516151222267,0.009245776809838336,0.0024322697339096066,0.023014459503422957,0.018282453433267874,0.00766070585609347,0.00369280151847108,0.012020082261702716,0.007801033284046804,0.023551048509969388,0.013580558621430115,0.01719620859717119,0.0461675717602832,0.00800070216966648,0.010800229348801493,0.015066965181218394,0.021446633550955507,0.009183294671139963,0.6966989884014704,0.04863983329954362,16440.0,15903.0,22528.333333333332,21327.885245901638,33875.6,54096.666666666664,29271.149425287356,54414.57142857143,28278.473684210527,32318.23076923077,39727.03448275862,38023.10989010989,35013.625,36318.69565217391,25531.921875,25604.065217391304,35723.568181818184,47030.47826086957,47510.078125,31235.136363636364,125013.50561797753,8647.516853932584,0.09348182082233684,0.08514256901475127,0.1260218468729391,0.12140765942099191,0.1948248056861595,0.30724303437069644,0.16832465747181113,0.29220120908242236,0.1556807376997545,0.18515549791584376,0.21546991932832724,0.20730098743390638,0.1942504902815272,0.19962555197585682,0.1444540038280736,0.1393165747370185,0.19661326609977262,0.26236171978599854,0.2684180230361775,0.1671777052632525,0.6966989884014704,0.04863983329954362
1,0,TRUE_mskf_cnt_TRUE_cnt,Slwog,2022-06-21 06:26:02,2022-06-21 06:26:12,2022-06-21 11:01:20,0 days 04:35:08,74,0.7158868338047981,0 days 00:03:43.081081081,True,mskf,cnt,True,cnt,0.5307028059016845,0.6294225284926372,0.26550190555895453,0.5519450715470892,0.4916688569262907,0.31025120610410256,0.7097837812812754,0.4639719445097749,0.6982931071352917,0.09834230154818618,0.6919335614396653,0.3867885122427255,0.6696008041205175,0.6310908629464239,0.6275559443301466,0.5350177942240175,0.27289988197822307,0.6517570608000454,0.4123721092031159,0.7168213394755182,0.4635874915731973,0.8661528584981765,mskf_rstate1_fold0,800.0,15.0,10.0,18.0,61.0,13.0,60.0,89.0,24.0,18.0,51.0,29.0,87.0,54.0,64.0,260.0,47.0,46.0,42.0,66.0,40.0,799.0,800.0,417.96125,128.78,369.04125,1473.85375,443.05375,4151.06375,3143.2425,1635.58375,620.07125,2076.55,1694.4325,4260.27875,2370.9325,3012.72375,8071.53125,1422.5475,2019.1325,2250.42,3933.87875,1655.7975,125580.38625,8874.8575,0.0024202557392064635,0.0007119919231839792,0.0020722343413534794,0.008154245400215816,0.002541338350623387,0.023345199058354603,0.01828156348184656,0.008734758025951124,0.003430621854338174,0.011740788551368366,0.009198737874749058,0.022904762557787797,0.013531258453874517,0.016392471436509758,0.04566982174330784,0.00770513244127313,0.011012784876912868,0.012321888495454538,0.02179322656471262,0.008874451268617,0.6993373856604006,0.04982508189995791,22291.266666666666,10302.4,16401.833333333332,19329.22950819672,27264.846153846152,55347.51666666667,28253.865168539327,54519.458333333336,27558.722222222223,32573.333333333332,46742.96551724138,39174.97701149425,35124.92592592593,37659.046875,24835.48076923077,24213.574468085106,35115.34782608696,42865.142857142855,47683.378787878784,33115.95,125737.55819774719,8874.8575,0.1290803060910114,0.05695935385471833,0.09209930406015464,0.1069409232815189,0.15639005234605458,0.31126932077806135,0.1643286605109803,0.2911586008650375,0.15247208241502996,0.1841692321783273,0.25375828619997404,0.2106185062785085,0.2004630882055484,0.20490589295637196,0.1405225284409472,0.1311511904897554,0.19152669351152815,0.23470263800865787,0.26416032199651657,0.17748902537234,0.7002126514747441,0.04982508189995791
1,0,TRUE_mskf_cnt_TRUE_performance,HtNsO,2022-06-21 11:01:20,2022-06-21 11:01:30,2022-06-21 16:25:54,0 days 05:24:24,87,0.7222825185531387,0 days 00:03:43.724137931,True,mskf,cnt,True,performance,0.5312355684949931,0.6040182647343811,0.2762729404422197,0.5093317545502016,0.5176905219016406,0.32600154841649803,0.7308708093624663,0.4761218742708962,0.6444991439624078,0.08863060792585149,0.7187822766190709,0.3624296522493752,0.6870970442413652,0.5802414432271482,0.6202483837125526,0.5514565108199951,0.3144939139470337,0.6182455758814059,0.4610143876058041,0.7233172727832886,0.4772657156699029,0.8679172960713484,mskf_rstate1_fold0,800.0,15.0,10.0,18.0,61.0,13.0,60.0,89.0,24.0,18.0,51.0,29.0,87.0,54.0,64.0,260.0,47.0,46.0,42.0,66.0,40.0,799.0,800.0,417.96125,128.78,369.04125,1473.85375,443.05375,4151.06375,3143.2425,1635.58375,620.07125,2076.55,1694.4325,4260.27875,2370.9325,3012.72375,8071.53125,1422.5475,2019.1325,2250.42,3933.87875,1655.7975,125580.38625,8874.8575,0.0024202557392064635,0.0007119919231839792,0.0020722343413534794,0.008154245400215816,0.002541338350623387,0.023345199058354603,0.01828156348184656,0.008734758025951124,0.003430621854338174,0.011740788551368366,0.009198737874749058,0.022904762557787797,0.013531258453874517,0.016392471436509758,0.04566982174330784,0.00770513244127313,0.011012784876912868,0.012321888495454538,0.02179322656471262,0.008874451268617,0.6993373856604006,0.04982508189995791,22291.266666666666,10302.4,16401.833333333332,19329.22950819672,27264.846153846152,55347.51666666667,28253.865168539327,54519.458333333336,27558.722222222223,32573.333333333332,46742.96551724138,39174.97701149425,35124.92592592593,37659.046875,24835.48076923077,24213.574468085106,35115.34782608696,42865.142857142855,47683.378787878784,33115.95,125737.55819774719,8874.8575,0.1290803060910114,0.05695935385471833,0.09209930406015464,0.1069409232815189,0.15639005234605458,0.31126932077806135,0.1643286605109803,0.2911586008650375,0.15247208241502996,0.1841692321783273,0.25375828619997404,0.2106185062785085,0.2004630882055484,0.20490589295637196,0.1405225284409472,0.1311511904897554,0.19152669351152815,0.23470263800865787,0.26416032199651657,0.17748902537234,0.7002126514747441,0.04982508189995791
2,0,FALSE_random_x2_FALSE_none,aFyRH,2022-06-21 16:25:54,2022-06-21 16:26:04,2022-06-22 00:19:57,0 days 07:53:53,99,0.7148442681879394,0 days 00:04:47.202020202,False,random,x2,False,none,0.5687755110176431,0.6464046641122614,0.28987123836799944,0.6601935469572134,0.5352916776657416,0.37967950645469656,0.7172734425638835,0.502555520283645,0.7671906684177622,0.20581939180981712,0.7288143440373267,0.47933373420076814,0.6961916514810925,0.6421209302484182,0.6423984903838608,0.5738505281062504,0.21995392661282717,0.6900360598357611,0.4428653292260028,0.7446146562526879,0.49655963850236295,0.883266785850128,random_rstate2_fold0,1171.0,61.0,51.0,90.0,60.0,73.0,56.0,105.0,107.0,121.0,50.0,67.0,100.0,56.0,67.0,351.0,67.0,55.0,75.0,65.0,63.0,1167.0,1171.0,897.8215200683177,487.66268146883004,1674.7062339880445,968.3253629376601,938.0725875320239,2737.3492741246796,2436.866780529462,4768.485055508113,2200.205807002562,1349.2877882152006,2443.748078565329,3102.6310845431253,1587.3082835183604,2140.7472245943636,8536.619128949616,1123.9026473099914,1621.265584970111,2504.476515798463,2643.2160546541418,1338.8915456874465,123603.98206660974,9863.608881298036,0.005318521864629457,0.0026274822246728233,0.00903082128887396,0.005493364139384962,0.005109174790938229,0.01536016161430329,0.014009282244256509,0.026659812905633337,0.012434790115851219,0.007695030591989459,0.013234895397761499,0.017001778083513955,0.008989504472660835,0.011631753503112276,0.047630936418605455,0.006004196023730575,0.008926716598521475,0.01403820995256301,0.014750878346161938,0.007245206025578415,0.6915493813208327,0.05525810207642455,17235.22950819672,11197.117647058823,21789.78888888889,18898.483333333334,15047.712328767124,57239.92857142857,27176.866666666665,52185.943925233645,21292.900826446283,31600.32,42710.880597014926,36331.81,33191.75,37415.149253731346,28479.71794871795,19643.13432835821,34518.218181818185,39103.22666666667,47618.553846153845,24886.380952380954,124027.64610111396,9863.608881298036,0.10209818202428023,0.060329052648860314,0.11750101921412676,0.1072121567869965,0.0819567627423105,0.321191950899092,0.15623685245737498,0.2917629991822116,0.12033999360051056,0.18021761646439313,0.23131436583251813,0.1990908213579484,0.1879769595979614,0.2032952739126041,0.15890548873557545,0.10493900811624632,0.19005791157942994,0.2191832513926838,0.26574274682085586,0.13466882945956068,0.6939197305284448,0.05525810207642455
